id,name
1,Alex Warren
2,Huntr/X
3,Ejae
4,Audrey Nuna
5,REI Ami
6,Kpop Demon Hunters
7,Morgan Wallen
8,Tate McRae
9,Justin Bieber
11,Ravyn Lenae
12,Teddy Swims
13,Shaboozey
14,Saja Boys
15,Andrew Choi
16,neckwav
17,Danny Chung
18,Lady Gaga
19,Bruno Mars
21,Kendrick Lamar
22,SZA
23,Sabrina Carpenter
24,Benson Boone
26,Samuil Lee
29,Chappell Roan
36,Drake
37,Central Cee
38,Leon Thomas
40,Lil Wayne
41,Rick Ross
42,Post Malone
44,Billie Eilish
48,Jinu
50,Rumi
58,BigXthaPlug
59,Bailey Zimmerman
61,sombr
63,Jessie Murph
70,Luke Combs
76,Ozzy Osbourne
77,Mariah The Scientist
78,Chris Brown
79,Bryson Tiller
80,Thomas Rhett
81,"Tyler, The Creator"
82,Riley Green
84,ROSE
87,Russell Dickerson
91,Megan Moroney
92,Kehlani
93,MOLLY
94,Silent Addy
95,Skillibeng
96,Shenseea
99,Pharrell Williams
100,SK8BR
102,Cardi B
105,Blackpink
106,Max McNown
107,Scotty McCreery
108,Hootie
109,The Blowfish
111,Yebba
113,Jelly Roll
114,Nate Smith
115,Twice
116,Hudson Westbrook
117,Forrest Frank
119,Ariana Grande
120,Charli XCX
123,Disco Lines
124,Tinashe
128,Brandon Lake
129,Coldplay
130,Jordan Davis
131,G Herbo
133,Madison McFerrin
134,Tyler Hubbard
135,Playboi Carti
136,The Weeknd
137,Lainey Wilson
138,Bad Bunny
139,Los Dareyes De La Sierra
142,Glorilla
143,Myles Smith
146,Zach Bryan
147,Gabriella Rose
151,Fuerza Regida
153,Ella Langley
154,Travis Scott
249,$uicideboy$
262,Kali Uchis
280,The Figs
296,Pierce The Veil
301,Pluto
302,YK NIECE
306,Latto
